http://cloc.sourceforge.net v 1.60  T=1.19 s (151.5 files/s, 16527.0 lines/s)
-------------------------------------------------------------------------------------------------------
File                                                                blank        comment           code
-------------------------------------------------------------------------------------------------------
Apps\DemoApp.ts                                                       187             14           1270
Apps\Test App.ts                                                      147             47           1069
Lib\Events\Classes\Events.ts                                          172            157            916
Lib\UI\Classes\Control.ts                                              45             17            833
Definitions\jqueryui.d.ts                                             167             26            761
Definitions\jquery.d.ts                                               206             83            520
Lib\UI\Classes\Tile.ts                                                 41             17            392
Lib\UI\Classes\TabControl.ts                                           38             13            321
Apps\MyApp.ts                                                          65              5            308
Lib\UI\Classes\ListBox.ts                                              26             12            304
Lib\Animation\AppWindowAnimator.ts                                     24             61            282
Lib\Data\Classes\DataBinding.ts                                        44            119            274
Lib\UI\Classes\Windows\Window.ts                                       54             16            215
Lib\UI\Classes\TrackBar.ts                                             27             12            203
Lib\UI\Classes\TextBox.ts                                              29             13            190
Lib\UI\Classes\MultilineTextBox.ts                                     28             13            187
Lib\UI\Classes\SplitContainer.ts                                       28             11            180
Lib\UI\Classes\ProgressBar.ts                                          34             11            174
Lib\UI\Classes\Windows\StartupWindow.ts                                24             16            170
Lib\Animation\Animation.ts                                             16             39            162
Lib\Utils.ts                                                           11             39            162
Lib\Collections\Classes\List.ts                                        20             86            152
Lib\UI\Classes\DropDownBox.ts                                          23             14            146
Lib\UI\Classes\ProgressSpinner.ts                                      31             11            145
Lib\UI\Classes\RadioButton.ts                                          26             13            141
Lib\UI\Classes\NumericUpDown.ts                                        25             12            140
Lib\UI\Classes\Expandable.ts                                           22             14            129
Lib\UI\Classes\Notification.ts                                         21             13            115
Lib\UI\Classes\ImageBox.ts                                             15             10            111
Definitions\modernizr.d.ts                                             13              3            100
Lib\UI\Classes\CheckBox.ts                                             19             13             96
Lib\UI\Classes\Label.ts                                                13             11             92
Lib\UI\Classes\SplitterGrip.ts                                         16             10             90
Lib\UI\Classes\NumericTextBox.ts                                       16             11             88
Lib\UI\Classes\Windows\SelectionWindow.ts                              22             12             86
Lib\Data\Classes\DataUpdater.ts                                        13             47             80
